ODA aid per person (constant 2007 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Australia,51.6556420233,60.1455756422,61.2196261682,75.6141154904,75.3201438849,85.2751322751,89.8965517241,104.0652542373,98.0799333888,106.9967373573,113.5355715428,102.0030604438,115.469924812,90.7675795707,107.7354227405,130.2231821454,83.8496079829,88.3516560958,114.9373259053,113.6900826446,106.5,91.9839142091,124.3906455863,108.5263157895,107.0872913992,121.6535782141,118.5468164794,86.0301353014,122.0193587417,102.2242712671,91.1013473931,96.7743055556,96.6651428571,95.9541595925,100.131019037,105.1267293857,86.4391043146,87.7294816415,92.5648691938,90.4694415174,95.9344773791,90.3150333504,94.1338100102,93.0990945674,93.3903530582,98.6227250369,119.0941004388,126.9514747859
Austria,0.1914893617,5.2440056417,3.9677419355,6.9512534819,10.5263157895,16.325997249,18.1024590164,20.852303523,21.9137466307,18.4556451613,12.8540829987,13.4373333333,16.6870026525,29.418972332,37.9881578947,44.2361477573,27.1611624835,51.4834874505,60.8716931217,46.1933774834,57.6490066225,82.167989418,89.4253632761,60.9708609272,74.5430463576,102.4497354497,58.4940554822,48.1899736148,69.2513157895,67.2217847769,32.7836787565,55.9232736573,35.0203045685,35.8498122653,53.6164383562,88.8683229814,78.3473945409,84.9913258984,79.8118811881,89.0692212608,90.4784217016,131.5830258303,102.6488169365,81.8099378882,97.2125307125,219.3171324423,201.6630434783,217.886746988
Belgium,111.0918032787,99.9161220044,74.0303687636,81.5898815931,68.9125799574,92.3192389006,66.1909758657,74.2139874739,71.7494802495,91.0497409326,88.7450777202,100.2409513961,112.3800205973,112.5780287474,115.2794268168,134.6183673469,118.1559633028,111.2046843177,135.1119023398,144.1016260163,127.7269035533,148.9756345178,147.9077079108,150.4330628803,150.0811359026,145.6125760649,132.2119675456,136.4832826748,114.4102822581,136.6750503018,142.1614844534,131.4545454545,124.7154228856,119.6785714286,101.5296442688,125.1820866142,115.4267453294,110.1188605108,126.3382352941,112.7781036168,137.8058536585,146.6060311284,168.3614341085,237.8341369335,166.3721153846,217.0968360499,209.5426944972,184.5775047259
Canada,24.6161163962,23.4188596491,16.451022605,24.7739038563,28.4919647486,33.433299389,62.3651348651,59.2875368008,55.8434782609,58.1804761905,83.3610328638,86.3005464481,94.9207920792,94.9212983548,110.424375274,125.7238547969,110.6946695096,123.5406658239,131.6314691152,121.1719008264,110.4820554649,111.6788879936,105.3554936306,118.0890815924,135.3069113627,137.6969814241,139.8819923372,140.0775047259,152.8880597015,136.5807988274,136.8245487365,135.9657509811,135.0426356589,134.0404181185,129.9824380165,116.0991482112,97.5655544321,110.2987662554,98.186446281,95.8206557377,93.1800454989,83.6155083655,108.2321371864,94.0258593504,107.2699750312,138.219271155,,123.2907222726
Denmark,16.2554585153,23.7071583514,20.3913978495,22.1791044776,24.5,29.1701680672,43.8416666667,51.8801652893,57.9301848049,102.2760736196,101.1359026369,116.4193548387,127.8316633267,135.9462151394,154.0356435644,156.256916996,156.7475345168,171.1709233792,216.3078431373,228.345703125,235.5,226.052734375,247.2421875,240.9354207436,292.4794520548,280.9921722114,329.7890625,328.2631578947,333.4210526316,350.828460039,359.6964980545,370.2718446602,397.2843326886,406.3603082852,422.1516314779,410.6233269598,452.3574144487,464.7121212121,483.0811320755,501.7706766917,539.9588014981,530.2929104478,491.9776951673,427.9185185185,442.8558225508,443.8526703499,455.4201834862,467.5602189781
Finland,,4.1053811659,4.5412026726,5.4933628319,4.7274725275,3.4539473684,5.5829694323,6.6377440347,8.120950324,22.7489177489,11.1518438178,20.2537960954,28.1745689655,30.8800856531,33.4861407249,36.4309978769,35.5095137421,32.3839662447,34.3494736842,48.9685534591,52.3849372385,65.9041666667,72.0414078675,81.1008230453,93.143442623,107.7489795918,124.2825203252,141.8884381339,175.1171717172,196.3205645161,198.122244489,223.944333996,169.6567460317,116.83234714,85.7642436149,90.9843444227,100.3099415205,103.2684824903,107.2116504854,116.2147001934,116.3841698842,121.6019230769,135.2667946257,136.8790786948,149.4179389313,197.1064638783,177.825095057,185.158490566
France,175.7412434326,184.5762564991,181.0936170213,145.08699289,139.3084247568,122.0258408532,116.7701383238,124.613925328,123.4623397436,135.0445151033,103.6742170573,105.7455609756,107.0373307544,95.7217958557,101.1565001906,100.9136622391,96.7045927046,93.6308560677,96.3553765455,109.3006901697,114.9682628062,135.3405315615,149.6272026432,150.3337593573,166.3757950209,167.0745296671,157.0781278128,171.3425295593,170.6088738418,186.8280751507,190.754141699,197.5357518402,202.1580965662,202.8281006071,208.9614853195,184.1238390093,163.2267899966,155.4434396861,142.2525684932,145.2055612419,119.9188317202,123.1209663795,148.7139973082,160.071775138,161.3629032258,190.962627593,186.8433753943,160.1878444084
Germany,47.0518078791,70.1940192239,73.5035186488,67.6049834466,76.4183198206,72.7523029683,64.173964497,76.2440546467,81.3954621849,79.1747960713,69.9272877164,75.4835236542,71.8809794065,76.5958373669,89.8314262691,95.7989649038,89.5741914513,86.0526058632,97.8030327735,124.4049869622,123.3292187754,130.9356355383,133.0652173913,137.158580267,131.7714939523,141.4352671255,131.5118716227,122.5116240995,126.3038242474,136.8200128908,142.7783399209,124.0037509377,121.5039702233,112.8885193397,105.799926308,100.8952975753,106.1837606838,93.8468007313,90.2521028892,92.6726763309,98.2334265904,98.9537115782,98.7128484848,103.6924848485,103.7422717905,137.8273730149,140.6145075206,149.412837345
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3915950334,25.2942857143,26.9961941009,29.2741935484,38.0393772894,34.2609489051,43.0575342466,45.2386569873,35.1748188406,40.5933273219,42.8181818182,44.7960644007
Ireland,,,,,,,,,,,,,,,12.0224358974,13.0566037736,14.4984520124,13.1743119266,31.9909365559,29.9554896142,26.4323529412,26.3895348837,42.5775862069,30.7037037037,34.7478753541,38.2937853107,45.1242937853,32.7175141243,34.1129943503,30.0568181818,30.6885714286,38.9630681818,34.5267605634,43.8735955056,56.4273743017,71.5138888889,80.8732782369,85.5136612022,89.3611859838,110.4613333333,113.5540897098,133.8828125,167.1520618557,167.0325,179.5475,207.5875,266.3891509434,274.6889400922
Italy,20.1345721871,15.1881611066,19.1303470541,15.3824589507,9.7287866772,11.6843036979,14.8090962327,28.1703445606,25.9300538048,22.1055746468,23.320826227,26.5096009036,13.0579439252,21.579064588,22.3963963964,16.1605186267,21.5765389504,16.8134611905,26.9868349865,16.4784172662,34.9922745239,38.0498475883,46.7416071429,46.6989151698,66.1306354278,63.6330973451,101.0510781195,90.1007765619,103.3299859056,115.8719211823,87.9044765597,83.4006342495,97.5188181498,89.0559886605,78.1748498764,45.0313656388,60.4962167869,34.0425008781,60.7829593268,49.5003503854,42.7172582619,50.3306015693,65.7408494475,55.9017049408,50.0542137272,99.6746967367,69.1225531915,67.4358016304
Japan,14.5022269353,13.8228868385,10.360790082,15.7550956739,12.4166066468,24.2807176696,27.0874305906,34.2552873105,29.4646484568,33.7000487092,32.4931690074,33.0749268661,32.6632814684,41.7275319658,40.8496138119,38.8408075755,34.2333539659,37.0909329829,42.8309455587,52.198915009,63.4312318469,55.5047505938,58.1081809757,66.8824070974,73.9839487691,63.4140437836,65.0341086546,72.1624407001,78.5965140902,80.9145708259,83.6300461128,90.8214285714,85.4276416231,75.1166239179,81.4995601056,82.1909691805,62.1195773081,67.915114528,83.3012886394,83.8040887205,89.473646892,74.2636585174,73.1434400502,65.7276288983,62.221030379,94.4641485777,85.4697040864,60.1091976517
Luxembourg,,,,,,,,,,,,,,,,,,,,,31.8378378378,37.7027027027,33.5135135135,35.0810810811,70.2432432432,79.5675675676,79.8378378378,84.5405405405,102.7631578947,103.5526315789,120.2368421053,192.7179487179,154.075,206.1,225.4634146341,213.8536585366,267.8095238095,360.7857142857,421.3255813953,445.6511627907,515.4772727273,592.9545454545,586.5681818182,596.9333333333,641.8,670.9111111111,701.2391304348,816.3695652174
Netherlands,45.1775456919,66.4037800687,72.9805249788,39.9632414369,47.2349546579,62.1861788618,78.6934189406,90.0428571429,93.5553809898,100.1630434783,127.6219325153,124.1918119788,146.352588147,121.765625,144.0856088561,170.1616678859,194.0508351489,209.0288600289,205.7977044476,249.5826210826,257.5349823322,282.1073684211,278.0104821803,235.3319415449,275.8300970874,250.1394064872,280.7487989019,279.4253578732,285.0880758808,281.498989899,286.5324414716,280.6788321168,279.6785243742,264.7952910399,251.8517555267,277.5931435964,288.5173969072,293.5246636771,300.4850413749,315.0474383302,347.2592592593,342.813633521,327.073110285,315.5809230769,300.773480663,356.0428396573,368.9309290954,379.5280487805
New Zealand,,35.3086419753,27.1445783133,27.6456692913,29.4092664093,28.8825757576,29.1940298507,28.2564102564,32.9381818182,37.9100719424,39.4326241135,41.2307692308,42.6116838488,42.5858585859,60.2112211221,101.7378640777,82.3653846154,71.0415335463,60.4345047923,66.2275641026,63.2738853503,56.6962025316,56.4119496855,54.4303405573,53.6441717791,52.623853211,59.7530487805,53.4242424242,53.1837349398,46.4204204204,48.8095238095,50.7356321839,51.8433048433,49.9098591549,49.8805555556,48.5819672131,44.0835579515,56.9255319149,58.4459102902,60.3648293963,57.7702349869,58.7272727273,56.2512690355,58.9551122195,62.9679802956,74.5623471883,73.2589928058,75.7819905213
Norway,20.3955431755,25.7983425414,26.271978022,34.2343324251,31.566395664,35.2634408602,41.656,41.3113456464,71.8691099476,76.1064935065,83.4072164948,88.5025641026,116.582697201,127.0606060606,165.2355889724,199.8279301746,228.7419354839,278.7995049505,309.2044334975,341.2162162162,331.0855745721,326.7268292683,396.3009708738,436.1307506053,424.3695652174,450.7180722892,539.5395683453,509.3341288783,517.2304038005,480.8888888889,550.1155660377,542.5892018779,562.2494172494,497.6334106729,552.0921658986,524.3509174312,537.9315068493,566.9818594104,613.9774266366,612.6950672646,547.6748329621,583.6319290466,659.0395604396,680.1466083151,656.3275488069,726.8836206897,702.264957265,786.5021097046
Portugal,,,,,,,,,,,,,,,,,,,,,1.4613034623,2.2803643725,1.615694165,5.4112337011,3.8071928072,4.5384615385,7.2287712288,11.376753507,22.0431726908,28.6784274194,29.7307692308,39.5369807497,47.2695035461,42.0738119312,52.1311806256,38.622983871,32.7341389728,41.0371485944,41.9468405216,44.2715686275,48.4288499025,47.3191489362,51.9825918762,41.6460348162,119.2572533849,42.5261121857,43.0367504836,45.5067698259
Spain,,,,,,,,,,,,,,,,,,,,,12.347455369,20.6547429783,21.3455455983,7.2565582371,14.2884012539,17.3352420614,15.4421380384,14.6114418845,13.9204545455,28.8167053364,41.1518661519,51.2024665982,56.7559600103,57.8094141724,58.538697318,53.5799540933,48.7713267125,54.2319430315,60.0957581915,60.2674741358,58.5850237916,83.4055127887,73.2445361826,64.7913837509,69.5821759259,82.5880583198,95.9798702751,113.7123893805
Sweden,7.7593582888,9.4015957447,19.7619047619,23.7934210526,32.1527415144,34.9831824062,48.8015364917,48.2554002541,55.9911504425,90.7703889586,83.3134328358,102.9185185185,111.4753694581,132.4717444717,179.5392156863,206.3284493284,205.5547445255,244.5733333333,225.7922705314,250.6863691194,214.7496991576,223.9555288462,275.7539015606,233.3433373349,229.8944844125,253.880239521,255.4778972521,272.680952381,275.1078199052,312.492343934,291.7675233645,286.3515081207,315.5501730104,294.2580275229,289.8826879271,241.3080407701,263.6199095023,256.0870056497,240.6474576271,255.960496614,308.7034949267,314.7730337079,350.2035794183,339.5389755011,346.1687014428,429.1171270718,487.4665203074,472.651416122
Switzerland,10.4014732965,22.561694291,12.9066427289,15.237258348,21.0863557858,25.795221843,26.8192567568,25.3739565943,45.1416803954,53.6661237785,50.6379585327,41.1735015773,78.78125,60.4829192547,55.0185758514,68.6875,71.0015797788,72.2689873418,75.4660347551,84.1354330709,97.4663536776,100.8553654743,102.5687789799,131.2839506173,125.7987711214,135.886676876,133.6712328767,139.5528700906,149.2488755622,146.2,158.1475409836,175.8338235294,220.523255814,156.2694524496,174.8076923077,165.0525568182,162.4823196605,168.8194640339,165.447257384,186.0182072829,185.9526462396,186.7690179806,175.1693989071,207.3948087432,225.3627717391,255.6228187919,233.352,221.9499341238
United Kingdom,92.8378842849,100.4474531339,88.3672358792,85.3477531233,97.6691979996,87.7436982521,86.1740483163,85.2072416303,79.6900923746,86.2820050487,80.5730720834,92.8778393847,90.6050285307,82.5628891656,91.2997154038,87.249733191,91.2915851272,104.1676753293,111.6150970269,129.6896674373,84.8455529913,104.1320319432,91.6716974432,89.4636395885,86.3043709078,90.1862762392,86.4394019349,79.0101736537,96.3427221833,95.1462691771,82.6556636553,94.4438678429,92.3595931736,94.2101735693,99.2398972603,93.5451288176,90.9022108844,90.1086256567,97.7030722485,87.9417492313,121.7814524378,126.8588195271,127.0961342828,143.4106418919,155.2696666667,208.6581666667,231.5338870432,162.5708154506
United States,86.9884872973,92.7687408133,98.7868553661,103.9927605157,101.6202511856,110.0764796706,100.4632682133,83.1791052287,91.95635494,76.3238109335,66.9142648135,62.1131657517,74.9033349214,47.1400122694,59.2703296703,60.7451497893,59.6078242524,59.5828187432,66.62599398,50.3288012086,69.491854389,50.9557768405,67.4751281278,63.3717724382,65.272688809,67.7697823626,66.8323706628,61.4522652389,65.5145294262,47.3403816609,67.0799791533,63.3785745449,63.6876078431,53.2440349176,50.6275692497,36.4708300034,45.1420490969,32.2593560917,40.3388784148,41.0194907492,43.3147401678,46.9209178303,53.0300128379,63.1393574987,73.3856963016,99.8986538916,80.7136940548,72.2329421126
